"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2019","30,613.7","30,078.0","30,613.7","30,078.0","712.05K","1.78%"
"10/23/2019","30,690.3","30,613.7","30,843.3","30,498.9","573.21K","0.25%"
"10/24/2019","30,843.3","30,690.3","30,996.4","30,422.4","645.41K","0.50%"
"10/25/2019","30,766.8","30,613.7","31,034.7","30,460.7","1.22M","-0.25%"
"10/28/2019","31,072.9","31,455.6","31,532.1","31,072.9","1.01M","0.99%"
"10/29/2019","31,072.9","31,302.5","31,302.5","30,613.7","1.16M","0.00%"
"10/30/2019","30,766.8","30,996.4","31,226.0","30,728.5","956.37K","-0.99%"
"10/31/2019","31,072.9","30,766.8","31,149.5","30,652.0","978.09K","0.99%"
"11/01/2019","31,379.1","30,996.4","31,455.6","30,843.3","1.48M","0.99%"
"11/04/2019","32,297.5","31,455.6","32,488.8","31,455.6","2.19M","2.93%"
"11/05/2019","32,527.1","32,374.0","32,527.1","32,259.2","1.13M","0.71%"
"11/06/2019","32,297.5","32,412.3","32,680.2","32,297.5","1.03M","-0.71%"
"11/07/2019","32,375.3","32,141.8","32,531.0","31,752.7","1.39M","0.24%"
"11/08/2019","32,141.8","32,531.0","32,686.6","32,064.0","917.97K","-0.72%"
"11/11/2019","32,141.8","32,102.9","32,608.8","31,986.2","911.14K","0.00%"
"11/12/2019","32,764.4","32,219.7","32,842.3","32,141.8","1.89M","1.94%"
"11/13/2019","33,387.1","32,842.3","33,387.1","32,842.3","2.27M","1.90%"
"11/14/2019","33,075.7","33,464.9","33,464.9","32,764.4","1.02M","-0.93%"
"11/15/2019","32,686.6","33,192.5","33,231.4","32,686.6","789.40K","-1.18%"
"11/18/2019","32,141.8","32,531.0","32,842.3","32,102.9","1.21M","-1.67%"
"11/19/2019","32,414.2","32,141.8","32,453.1","31,986.2","850.26K","0.85%"
"11/20/2019","32,336.4","32,608.8","32,608.8","32,102.9","310.05K","-0.24%"
"11/21/2019","32,064.0","32,297.5","32,453.1","32,025.1","769.32K","-0.84%"
"11/22/2019","31,285.8","32,297.5","32,297.5","30,974.5","1.31M","-2.43%"
"11/25/2019","30,896.6","31,285.8","31,597.1","30,741.0","1.03M","-1.24%"
"11/26/2019","31,130.1","31,363.6","31,558.2","30,974.5","511.31K","0.76%"
"11/27/2019","31,752.7","31,207.9","32,219.7","31,207.9","1.33M","2.00%"
"11/28/2019","31,636.0","31,908.4","31,908.4","31,480.3","498.40K","-0.37%"
"11/29/2019","31,519.2","31,519.2","31,830.5","31,519.2","492.54K","-0.37%"
"12/02/2019","30,663.2","31,363.6","31,363.6","30,663.2","882.97K","-2.72%"
"12/03/2019","30,896.6","30,663.2","31,169.0","30,351.9","989.60K","0.76%"
"12/04/2019","31,402.5","30,896.6","31,558.2","30,818.8","443.10K","1.64%"
"12/05/2019","31,130.1","31,558.2","31,597.1","30,857.7","495.08K","-0.87%"
"12/06/2019","30,857.7","30,896.6","31,285.8","30,779.9","471.55K","-0.88%"
"12/09/2019","31,130.1","31,130.1","31,130.1","30,857.7","450.97K","0.88%"
"12/10/2019","31,052.3","31,130.1","31,402.5","30,935.6","522.78K","-0.25%"
"12/11/2019","31,207.9","31,052.3","31,207.9","30,974.5","352.32K","0.50%"
"12/12/2019","31,908.4","31,597.1","31,908.4","31,285.8","910.69K","2.24%"
"12/13/2019","32,608.8","31,908.4","32,647.7","31,908.4","1.79M","2.20%"
"12/16/2019","32,608.8","32,842.3","32,881.2","32,297.5","1.06M","0.00%"
"12/17/2019","32,258.6","32,531.0","32,608.8","32,141.8","730.07K","-1.07%"
"12/18/2019","32,686.6","31,986.2","33,114.7","31,986.2","1.86M","1.33%"
"12/19/2019","32,842.3","32,764.4","33,036.8","32,219.7","883.60K","0.48%"
"12/20/2019","33,270.3","32,686.6","33,309.2","32,686.6","896.66K","1.30%"
"12/23/2019","34,826.8","33,270.3","34,982.5","33,270.3","3.07M","4.68%"
"12/24/2019","34,943.6","34,671.2","35,138.1","34,476.6","932.61K","0.34%"
"12/25/2019","35,177.0","34,321.0","35,215.9","34,321.0","736.32K","0.67%"
"12/26/2019","34,398.8","35,060.3","35,293.8","34,398.8","661.35K","-2.21%"
"12/27/2019","35,955.3","34,398.8","35,955.3","34,243.1","1.38M","4.52%"
"12/30/2019","35,877.5","36,033.1","36,694.6","35,799.6","1.10M","-0.22%"
"12/31/2019","35,916.4","35,955.3","36,188.8","35,721.8","792.87K","0.11%"
"01/02/2020","36,500.1","35,799.6","36,733.5","35,721.8","1.10M","1.63%"
"01/03/2020","36,344.4","36,850.3","36,967.0","36,344.4","759.58K","-0.43%"
"01/06/2020","35,644.0","36,344.4","36,344.4","35,644.0","999.23K","-1.93%"
"01/07/2020","36,344.4","35,644.0","36,344.4","35,177.0","662.67K","1.96%"
"01/08/2020","36,655.7","35,799.6","37,278.3","35,644.0","1.55M","0.86%"
"01/09/2020","38,640.3","37,161.6","38,834.8","37,044.8","1.98M","5.41%"
"01/10/2020","39,924.4","38,640.3","40,469.2","38,601.3","1.89M","3.32%"
"01/13/2020","38,990.5","38,834.8","40,080.0","38,523.5","685.12K","-2.34%"
"01/14/2020","38,990.5","38,990.5","40,080.0","38,834.8","946.04K","0.00%"
"01/15/2020","39,690.9","38,834.8","39,924.4","38,834.8","874.47K","1.80%"
"01/16/2020","42,025.7","39,690.9","42,103.5","39,690.9","1.26M","5.88%"
"01/17/2020","41,636.5","42,103.5","42,492.6","41,325.2","809.32K","-0.93%"
"01/20/2020","41,480.9","41,636.5","42,181.3","41,403.1","957.93K","-0.37%"
"01/21/2020","42,025.7","41,480.9","42,414.8","41,480.9","766.69K","1.31%"
"01/22/2020","43,193.0","42,025.7","43,426.5","41,870.0","982.75K","2.78%"
"01/30/2020","41,013.9","42,414.8","42,726.1","40,469.2","1.75M","-5.05%"
"01/31/2020","40,080.0","40,702.6","41,714.4","40,080.0","1.45M","-2.28%"
"02/03/2020","41,636.5","38,757.0","42,803.9","37,278.3","1.97M","3.88%"
"02/04/2020","42,337.0","42,337.0","42,570.4","41,714.4","1.77M","1.68%"
"02/05/2020","41,636.5","42,726.1","42,959.6","41,636.5","903.92K","-1.65%"
"02/06/2020","41,403.1","41,558.7","42,103.5","41,247.4","1.85M","-0.56%"
"02/07/2020","40,235.7","41,013.9","41,480.9","40,157.9","1.89M","-2.82%"
"02/10/2020","38,212.2","39,613.1","39,846.5","38,212.2","1.40M","-5.03%"
"02/11/2020","39,535.2","38,212.2","40,002.2","38,212.2","1.15M","3.46%"
"02/12/2020","39,535.2","40,080.0","40,313.5","39,457.4","886.11K","0.00%"
"02/13/2020","39,223.9","39,457.4","39,690.9","38,834.8","727.98K","-0.79%"
"02/14/2020","38,912.6","38,990.5","39,379.6","38,912.6","788.63K","-0.79%"
"02/17/2020","40,080.0","39,068.3","40,080.0","38,990.5","1.09M","3.00%"
