Date,Price,Open,High,Low,Vol.,Change %
4/28/2020,"27,355.60","27,316.70","27,861.50","26,849.70",741.40K,0.14%
4/29/2020,"27,705.80","27,238.90","27,939.30","27,238.90",748.95K,1.28%
5/4/2020,"27,472.30","27,705.80","28,328.40","27,316.70",824.59K,-0.84%
5/5/2020,"27,472.30","27,472.30","27,861.50","27,394.50",537.86K,0.00%
5/6/2020,"28,017.10","27,589.10","28,017.10","27,472.30",929.84K,1.98%
5/7/2020,"29,223.40","28,250.60","29,262.30","28,250.60",3.18M,4.31%
5/8/2020,"29,573.60","29,534.70","30,585.30","29,223.40",3.22M,1.20%
5/11/2020,"29,962.70","29,962.70","30,351.90","29,534.70",1.52M,1.32%
5/12/2020,"30,001.60","29,807.10","30,079.50","29,534.70",2.07M,0.13%
5/13/2020,"30,818.80","29,807.10","30,974.50","29,418.00",3.43M,2.72%
5/14/2020,"30,896.60","30,351.90","31,519.20","30,351.90",2.51M,0.25%
5/15/2020,"30,040.60","30,974.50","31,207.90","29,884.90",2.40M,-2.77%
5/18/2020,"30,274.00","29,923.80","30,274.00","29,573.60",2.34M,0.78%
5/19/2020,"30,429.70","31,052.30","31,052.30","30,274.00",2.12M,0.51%
5/20/2020,"30,468.60","30,351.90","30,585.30","29,962.70",1.13M,0.13%
5/21/2020,"30,896.60","30,741.00","31,246.90","30,702.10",3.11M,1.40%
5/22/2020,"30,585.30","30,896.60","31,130.10","30,585.30",1.43M,-1.01%
5/25/2020,"30,857.70","30,585.30","30,974.50","30,351.90",1.12M,0.89%
5/26/2020,"32,686.60","30,935.60","32,686.60","30,935.60",3.72M,5.93%
5/27/2020,"30,974.50","33,270.30","33,270.30","30,974.50",2.88M,-5.24%
5/28/2020,"31,674.90","31,130.10","31,869.50","30,974.50",2.41M,2.26%
5/29/2020,"31,207.90","31,441.40","31,519.20","30,974.50",2.10M,-1.47%
6/1/2020,"32,258.60","31,363.60","32,336.40","31,324.70",1.39M,3.37%
6/2/2020,"31,558.20","32,297.50","32,608.80","31,519.20",1.88M,-2.17%
6/3/2020,"31,908.40","31,830.50","32,064.00","31,519.20",1.13M,1.11%
6/4/2020,"32,531.00","32,064.00","32,920.10","31,986.20",2.53M,1.95%
6/5/2020,"32,764.40","32,531.00","32,842.30","32,102.90",1.53M,0.72%
6/8/2020,"34,243.10","33,231.40","34,243.10","33,075.70",3.13M,4.51%
6/9/2020,"33,737.30","34,321.00","34,321.00","33,698.40",1.41M,-1.48%
6/10/2020,"33,854.00","33,542.70","34,321.00","33,075.70",1.63M,0.35%
6/11/2020,"31,519.20","33,854.00","34,009.70","31,519.20",3.00M,-6.90%
6/12/2020,"33,075.70","30,741.00","33,075.70","30,741.00",2.41M,4.94%
6/15/2020,"31,052.30","32,920.10","32,920.10","31,052.30",1.89M,-6.12%
6/16/2020,"31,674.90","32,297.50","32,375.30","31,519.20",1.21M,2.01%
6/17/2020,"31,363.60","31,674.90","31,986.20","31,013.40",1.03M,-0.98%
6/18/2020,"31,519.20","31,363.60","31,597.10","31,130.10",791.70K,0.50%
6/19/2020,"32,258.60","32,064.00","32,258.60","31,674.90",906.10K,2.35%
6/22/2020,"32,141.80","32,297.50","32,569.90","31,752.70",783.40K,-0.36%
6/23/2020,"31,674.90","31,947.30","32,180.80","31,519.20",1.40M,-1.45%
6/24/2020,"31,363.60","31,674.90","32,064.00","31,285.80",870.40K,-0.98%
6/25/2020,"31,130.10","31,130.10","31,324.70","30,974.50",995.90K,-0.74%
6/26/2020,"31,052.30","31,830.50","31,830.50","30,896.60",902.20K,-0.25%
6/29/2020,"29,962.70","30,585.30","30,741.00","29,884.90",1.68M,-3.51%
6/30/2020,"29,495.80","30,351.90","30,390.80","29,418.00",1.08M,-1.56%
7/1/2020,"30,507.50","29,495.80","30,663.20","29,495.80",967.60K,3.43%
7/2/2020,"30,351.90","30,702.10","30,702.10","30,118.40",630.70K,-0.51%
7/3/2020,"30,429.70","30,546.40","30,585.30","30,196.20",688.40K,0.26%
7/6/2020,"31,207.90","30,663.20","31,285.80","30,429.70",952.90K,2.56%
7/7/2020,"31,597.10","31,441.40","31,791.60","31,324.70",1.38M,1.25%
7/8/2020,"31,558.20","31,519.20","31,674.90","31,130.10",966.70K,-0.12%
7/9/2020,"32,375.30","31,558.20","32,608.80","31,558.20",1.93M,2.59%
7/10/2020,"32,297.50","32,064.00","32,414.20","31,713.80",1.30M,-0.24%
7/13/2020,"32,141.80","32,414.20","32,569.90","31,908.40",1.31M,-0.48%
7/14/2020,"32,102.90","31,791.60","32,141.80","31,674.90",1.25M,-0.12%
7/15/2020,"32,180.80","32,453.10","32,453.10","32,141.80",868.40K,0.24%
7/16/2020,"32,180.80","32,180.80","32,219.70","31,908.40",595.30K,0.00%
7/17/2020,"32,375.30","32,219.70","32,569.90","32,219.70",1.69M,0.60%
7/20/2020,"31,752.70","32,453.10","32,492.10","31,752.70",1.05M,-1.92%
7/21/2020,"31,752.70","31,908.40","31,908.40","31,402.50",471.10K,0.00%
7/22/2020,"31,130.10","31,908.40","31,908.40","30,741.00",944.00K,-1.96%
7/23/2020,"31,013.40","31,130.10","31,480.30","30,857.70",961.30K,-0.37%
7/24/2020,"29,729.30","31,013.40","31,013.40","29,379.00",2.27M,-4.14%
7/27/2020,"27,666.90","28,017.10","29,418.00","27,666.90",1.94M,-6.94%
7/28/2020,"29,456.90","28,017.10","29,456.90","28,017.10",1.50M,6.47%
7/29/2020,"28,756.40","28,639.70","28,951.00","27,861.50",912.70K,-2.38%
7/30/2020,"28,951.00","29,184.50","29,184.50","28,017.10",528.10K,0.68%
7/31/2020,"28,523.00","28,017.10","28,989.90","28,017.10",603.60K,-1.48%
8/3/2020,"28,951.00","28,250.60","29,067.70","28,250.60",813.30K,1.50%
8/4/2020,"29,495.80","29,573.60","29,573.60","29,184.50",621.30K,1.88%
8/5/2020,"30,157.30","29,418.00","30,351.90","29,262.30",1.15M,2.24%
8/6/2020,"29,768.20","30,079.50","30,274.00","29,729.30",751.20K,-1.29%
8/7/2020,"29,651.40","29,768.20","30,040.60","29,534.70",669.20K,-0.39%
8/10/2020,"29,651.40","29,923.80","30,118.40","29,651.40",672.60K,0.00%
8/11/2020,"29,962.70","29,846.00","30,040.60","29,651.40",982.00K,1.05%
8/12/2020,"30,507.50","30,040.60","30,624.30","30,040.60",1.21M,1.82%
8/13/2020,"30,857.70","30,741.00","30,896.60","30,585.30",847.00K,1.15%
8/14/2020,"30,351.90","30,624.30","30,818.80","30,196.20",1.24M,-1.64%
8/17/2020,"30,118.40","30,274.00","30,351.90","29,923.80",793.60K,-0.77%
8/18/2020,"29,884.90","30,351.90","30,351.90","29,884.90",834.20K,-0.78%
8/19/2020,"30,040.60","29,884.90","30,235.10","29,884.90",435.60K,0.52%
8/20/2020,"29,768.20","30,040.60","30,235.10","29,768.20",1.08M,-0.91%
8/21/2020,"30,313.00","29,884.90","30,546.40","29,884.90",1.38M,1.83%
8/24/2020,"30,857.70","30,741.00","31,052.30","30,507.50",1.18M,1.80%
8/25/2020,"30,741.00","31,052.30","31,130.10","30,663.20",1.12M,-0.38%
8/26/2020,"30,624.30","30,741.00","30,741.00","30,585.30",1.05M,-0.38%
8/27/2020,"30,429.70","30,585.30","30,663.20","30,351.90",1.38M,-0.64%
8/28/2020,"31,558.20","30,741.00","31,908.40","30,585.30",3.81M,3.71%
8/31/2020,"31,869.50","31,597.10","32,141.80","31,558.20",2.52M,0.99%
9/1/2020,"32,219.70","31,519.20","32,219.70","31,441.40",2.67M,1.10%
9/3/2020,"32,842.30","32,297.50","32,842.30","32,064.00",3.35M,1.93%
9/4/2020,"32,764.40","32,141.80","32,920.10","32,102.90",2.52M,-0.24%
9/7/2020,"31,597.10","32,842.30","32,842.30","31,597.10",2.83M,-3.56%
9/8/2020,"31,791.60","31,752.70","31,908.40","31,169.00",1.59M,0.62%
9/9/2020,"31,752.70","31,285.80","31,869.50","31,207.90",1.01M,-0.12%
9/10/2020,"31,519.20","31,986.20","32,025.10","31,519.20",1.07M,-0.74%
9/11/2020,"31,480.30","31,519.20","31,636.00","31,324.70",972.50K,-0.12%
9/14/2020,"31,519.20","31,558.20","31,752.70","31,480.30",1.17M,0.12%
9/15/2020,"31,713.80","31,674.90","32,064.00","31,441.40",1.40M,0.62%
9/16/2020,"31,558.20","31,830.50","31,830.50","31,480.30",687.10K,-0.49%
9/17/2020,"31,519.20","31,674.90","31,986.20","31,363.60",1.91M,-0.12%
9/18/2020,"31,908.40","31,597.10","31,908.40","31,519.20",1.76M,1.23%
9/21/2020,"31,752.70","32,064.00","32,297.50","31,674.90",1.27M,-0.49%
9/22/2020,"31,674.90","31,674.90","31,830.50","31,480.30",1.46M,-0.25%
9/23/2020,"32,219.70","31,752.70","32,608.80","31,752.70",2.65M,1.72%
9/24/2020,"31,830.50","32,064.00","32,336.40","31,752.70",1.92M,-1.21%
9/25/2020,"31,752.70","31,908.40","31,986.20","31,558.20",1.68M,-0.24%
9/28/2020,"32,141.80","31,947.30","32,453.10","31,752.70",2.46M,1.23%
9/29/2020,"31,636.00","32,297.50","32,647.70","31,597.10",2.54M,-1.57%
9/30/2020,"31,752.70","31,674.90","31,830.50","31,519.20",1.17M,0.37%
10/1/2020,"31,869.50","31,752.70","32,025.10","31,752.70",1.46M,0.37%
10/2/2020,"31,636.00","31,908.40","32,258.60","29,962.70",2.21M,-0.73%
10/5/2020,"31,441.40","31,908.40","31,908.40","31,285.80",1.97M,-0.62%
10/6/2020,"31,480.30","31,558.20","31,752.70","31,363.60",1.90M,0.12%
10/7/2020,"31,480.30","31,441.40","31,830.50","31,363.60",1.48M,0.00%
10/8/2020,"31,441.40","31,597.10","31,636.00","30,974.50",2.38M,-0.12%
10/9/2020,"31,402.50","31,363.60","31,519.20","31,207.90",1.07M,-0.12%
10/12/2020,"31,869.50","32,375.30","32,647.70","31,674.90",4.44M,1.49%
10/13/2020,"32,102.90","31,908.40","32,569.90","31,597.10",2.49M,0.73%
10/14/2020,"33,387.10","32,531.00","33,426.00","32,297.50",8.58M,4.00%
10/15/2020,"32,881.20","33,815.10","33,815.10","32,842.30",3.72M,-1.52%
10/16/2020,"32,842.30","32,881.20","33,620.50","32,531.00",3.03M,-0.12%
10/19/2020,"32,608.80","33,036.80","33,036.80","32,453.10",3.38M,-0.71%
10/20/2020,"32,686.60","32,297.50","33,075.70","32,297.50",2.42M,0.24%
